"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-01","2023","01","01","†","6.0","","4.0","","5.0","","13.0","","0.0","","2.0","","0.0","","2.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-02","2023","01","02","†","4.5","","0.0","","2.3","","15.7","","0.0","","1.2","","0.0","","1.2","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-03","2023","01","03","†","4.5","","0.0","","2.3","","15.7","","0.0","","2.0","","0.0","","2.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-04","2023","01","04","†","8.5","","1.0","","4.8","","13.2","","0.0","","2.8","","0.0","","2.8","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-05","2023","01","05","†","11.5","","4.0","","7.8","","10.2","","0.0","","7.4","","0.0","","7.4","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-06","2023","01","06","†","11.0","","7.0","","9.0","","9.0","","0.0","","2.2","","0.0","","2.2","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-07","2023","01","07","†","8.5","","7.0","","7.8","","10.2","","0.0","","10.5","","0.0","","10.5","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-08","2023","01","08","†","7.0","","5.0","","6.0","","12.0","","0.0","","13.0","","0.0","","13.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-09","2023","01","09","†","10.0","","4.0","","7.0","","11.0","","0.0","","7.2","","0.0","","7.2","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-10","2023","01","10","†","11.5","","5.5","","8.5","","9.5","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-11","2023","01","11","†","11.0","","2.0","","6.5","","11.5","","0.0","","6.4","","0.0","","6.4","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-12","2023","01","12","†","11.5","","7.0","","9.3","","8.7","","0.0","","25.6","","0.0","","25.6","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-13","2023","01","13","†","11.0","","9.5","","10.3","","7.7","","0.0","","14.3","","0.0","","14.3","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-14","2023","01","14","†","14.0","","8.5","","11.3","","6.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-15","2023","01","15","†","9.5","","7.5","","8.5","","9.5","","0.0","","35.3","","0.0","","35.3","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-16","2023","01","16","†","6.5","","4.5","","5.5","","12.5","","0.0","","7.4","","0.0","","7.4","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-17","2023","01","17","†","6.0","","5.0","","5.5","","12.5","","0.0","","23.8","","0.0","","23.8","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-18","2023","01","18","†","7.5","","4.5","","6.0","","12.0","","0.0","","7.8","","0.0","","7.8","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-19","2023","01","19","†","6.0","","1.0","","3.5","","14.5","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-20","2023","01","20","†","7.5","","3.5","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-21","2023","01","21","†","7.0","","0.5","","3.8","","14.2","","0.0","","18.0","","0.0","","18.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-22","2023","01","22","†","6.0","","2.5","","4.3","","13.7","","0.0","","1.8","","0.0","","1.8","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-23","2023","01","23","†","5.0","","1.0","","3.0","","15.0","","0.0","","2.2","","0.0","","2.2","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-24","2023","01","24","†","5.0","","3.5","","4.3","","13.7","","0.0","","3.6","","0.0","","3.6","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-25","2023","01","25","†","7.0","","4.0","","5.5","","12.5","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-26","2023","01","26","†","5.0","","4.5","","4.8","","13.2","","0.0","","9.4","","0.0","","9.4","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2023-01-27","2023","01","27","†","6.0","","4.5","","5.3","","12.7","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
