"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2004-01-01","2004","01","01","","-5.0","","-7.0","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","16","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2004-01-02","2004","01","02","","-11.0","","-13.0","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2004-01-03","2004","01","03","","-18.0","","-22.0","","-20.0","","38.0","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2004-01-04","2004","01","04","","-20.0","","-27.0","","-23.5","","41.5","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2004-01-05","2004","01","05","","-22.5","","-30.0","","-26.3","","44.3","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2004-01-06","2004","01","06","","-12.0","","-28.0","","-20.0","","38.0","","0.0","","0.0","","6.0","","6.0","","13","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2004-01-07","2004","01","07","","-4.0","","-20.0","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","16","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2004-01-08","2004","01","08","","1.0","","-7.5","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2004-01-09","2004","01","09","","4.0","","-5.0","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","19","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2004-01-10","2004","01","10","","3.5","","-1.0","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2004-01-11","2004","01","11","","2.0","","-3.0","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
