date,name,lat,lon,wind_speed,category
1983-08-18 07:00:00,ALICIA,29.1,-95.1,100.0,Category 3
1983-08-25 11:00:00,BARRY,27.9,-80.6,30.0,Tropical Depression
1983-08-28 17:25:00,BARRY,25.4,-97.4,70.0,Category 1
1984-09-13 07:00:00,DIANA,33.9,-78.0,80.0,Category 1
1985-07-25 03:00:00,BOB,32.2,-80.5,65.0,Category 1
1985-08-15 16:30:00,DANNY,29.6,-92.7,80.0,Category 1
1985-09-02 13:00:00,ELENA,30.4,-89.2,100.0,Category 3
1985-09-24 21:00:00,HENRI,40.8,-72.5,35.0,Tropical Storm
1985-09-25 00:00:00,HENRI,41.3,-71.8,30.0,Tropical Depression
1985-09-27 05:30:00,GLORIA,35.2,-75.6,90.0,Category 2
1985-09-27 16:00:00,GLORIA,40.6,-73.3,75.0,Category 1
1985-10-10 21:00:00,ISABEL,30.6,-81.4,35.0,Tropical Storm
1985-10-29 11:00:00,JUAN,29.5,-91.4,65.0,Category 1
1985-11-21 22:30:00,KATE,30.0,-85.4,85.0,Category 2
1986-06-26 10:00:00,BONNIE,29.6,-94.2,75.0,Category 1
1986-08-17 14:00:00,CHARLEY,34.7,-76.5,65.0,Category 1
1987-08-10 06:00:00,UNNAMED,29.5,-94.5,40.0,Tropical Storm
1987-09-23 03:00:00,EMILY,18.3,-71.0,95.0,Category 2
1987-09-25 11:45:00,EMILY,32.3,-64.7,75.0,Category 1
1987-10-12 21:00:00,FLOYD,25.1,-80.5,65.0,Category 1
1988-08-28 15:00:00,CHRIS,32.0,-80.9,40.0,Tropical Storm
1988-09-03 00:00:00,DEBBY,20.7,-97.3,65.0,Category 1
1988-09-10 02:00:00,FLORENCE,29.1,-89.3,70.0,Category 1
1988-09-12 17:00:00,GILBERT,17.8,-76.8,115.0,Category 4
1988-09-14 15:00:00,GILBERT,20.7,-87.0,140.0,Category 5
1988-09-16 22:00:00,GILBERT,24.2,-97.8,110.0,Category 3
1988-10-15 01:00:00,JOAN,12.1,-61.8,45.0,Tropical Storm
1988-10-17 06:00:00,JOAN,12.0,-71.2,55.0,Tropical Storm
1988-10-22 10:00:00,JOAN,11.9,-83.7,125.0,Category 4
1988-11-21 08:00:00,KEITH,21.2,-86.8,60.0,Tropical Storm
1988-11-23 07:00:00,KEITH,27.3,-82.6,55.0,Tropical Storm
1989-06-26 13:00:00,ALLISON,28.7,-95.7,40.0,Tropical Storm
1989-08-01 13:00:00,CHANTAL,29.6,-94.4,70.0,Category 1
1989-08-08 13:00:00,DEAN,46.9,-55.9,55.0,Tropical Storm
1989-09-17 05:00:00,HUGO,16.3,-61.3,120.0,Category 4
1989-09-18 06:00:00,HUGO,17.7,-64.8,120.0,Category 4
1989-09-18 12:00:00,HUGO,18.2,-65.5,110.0,Category 3
1989-09-18 13:00:00,HUGO,18.3,-65.6,110.0,Category 3
1989-09-22 04:00:00,HUGO,32.8,-79.8,120.0,Category 4
1989-10-16 00:30:00,JERRY,29.2,-95.0,75.0,Category 1
1990-08-05 20:00:00,DIANA,19.0,-87.6,55.0,Tropical Storm
1990-08-07 19:00:00,DIANA,20.9,-97.0,85.0,Category 2
1991-08-19 17:20:00,BOB,41.2,-71.6,90.0,Category 2
1991-08-19 18:00:00,BOB,41.4,-71.4,85.0,Category 2
1991-08-20 01:30:00,BOB,44.1,-69.1,60.0,Tropical Storm
1991-09-12 03:00:00,ERIKA,37.7,-25.9,35.0,Tropical Storm
1991-10-15 21:00:00,FABIAN,21.5,-82.8,40.0,Tropical Storm
1991-10-16 00:00:00,FABIAN,22.4,-81.8,40.0,Tropical Storm
1991-11-02 14:00:00,UNNAMED,44.6,-63.5,45.0,Tropical Storm
1992-08-23 21:00:00,ANDREW,25.4,-76.6,140.0,Category 5
1992-08-24 01:00:00,ANDREW,25.4,-77.8,130.0,Category 4
1992-08-24 08:40:00,ANDREW,25.5,-80.2,145.0,Category 5
1992-08-24 09:05:00,ANDREW,25.5,-80.3,145.0,Category 5
1992-08-26 08:30:00,ANDREW,29.6,-91.5,100.0,Category 3
1992-09-25 22:00:00,DANIELLE,37.8,-75.5,55.0,Tropical Storm
1993-06-20 09:00:00,ARLENE,27.1,-97.4,35.0,Tropical Storm
1993-08-07 07:00:00,BRET,10.8,-60.8,50.0,Tropical Storm
1993-08-07 10:00:00,BRET,10.8,-61.8,50.0,Tropical Storm
1993-08-08 08:00:00,BRET,11.0,-68.3,40.0,Tropical Storm
1993-08-10 17:00:00,BRET,11.1,-83.8,40.0,Tropical Storm
1993-08-14 18:00:00,CINDY,14.5,-60.9,35.0,Tropical Storm
1993-08-16 21:00:00,CINDY,18.3,-71.0,30.0,Tropical Depression
1993-09-15 18:00:00,GERT,11.8,-83.8,35.0,Tropical Storm
1993-09-18 00:00:00,GERT,17.3,-88.1,35.0,Tropical Storm
1993-09-20 21:00:00,GERT,21.2,-97.5,85.0,Category 2
1994-07-03 15:00:00,ALBERTO,30.4,-86.5,55.0,Tropical Storm
1994-07-20 14:00:00,UNNAMED,33.2,-79.2,30.0,Tropical Depression
1994-08-16 00:00:00,BERYL,30.0,-85.6,50.0,Tropical Storm
1994-08-31 06:00:00,UNNAMED,22.4,-98.0,30.0,Tropical Depression
1994-09-10 03:00:00,DEBBY,14.0,-61.0,55.0,Tropical Storm
1994-09-25 18:00:00,UNNAMED,16.6,-88.4,30.0,Tropical Depression
1994-11-10 06:00:00,GORDON,14.0,-83.4,30.0,Tropical Depression
1994-11-13 03:00:00,GORDON,17.9,-76.8,35.0,Tropical Storm
1994-11-13 13:00:00,GORDON,20.0,-74.9,40.0,Tropical Storm
1994-11-15 13:00:00,GORDON,24.6,-81.7,45.0,Tropical Storm
1994-11-16 13:00:00,GORDON,26.5,-81.9,45.0,Tropical Storm
1994-11-21 03:00:00,GORDON,28.5,-80.6,25.0,Tropical Depression
1995-06-05 14:00:00,ALLISON,29.9,-84.4,60.0,Tropical Storm
1995-06-05 15:00:00,ALLISON,30.1,-84.2,55.0,Tropical Storm
1995-07-09 21:30:00,BARRY,45.3,-61.0,50.0,Tropical Storm
1995-07-09 22:00:00,BARRY,45.6,-60.8,45.0,Tropical Storm
1995-07-31 02:00:00,DEAN,29.2,-95.3,40.0,Tropical Storm
1995-08-02 06:15:00,ERIN,27.7,-80.3,75.0,Category 1
1995-08-03 16:00:00,ERIN,30.3,-87.2,75.0,Category 1
1995-08-06 23:00:00,UNNAMED,21.5,-97.4,30.0,Tropical Depression
1995-08-11 20:00:00,GABRIELLE,23.7,-97.8,60.0,Tropical Storm
1995-08-23 18:00:00,JERRY,27.0,-80.2,35.0,Tropical Storm
1995-08-27 18:00:00,IRIS,17.0,-61.9,50.0,Tropical Storm
1995-08-27 23:00:00,IRIS,17.7,-62.0,55.0,Tropical Storm
1995-09-14 21:00:00,MARILYN,15.5,-61.3,70.0,Category 1
1995-10-04 22:00:00,OPAL,30.3,-87.1,100.0,Category 3
1995-10-11 02:00:00,ROXANNE,20.0,-87.6,100.0,Category 3
1996-06-20 00:00:00,ARTHUR,34.7,-76.4,35.0,Tropical Storm
1996-07-12 20:00:00,BERTHA,34.3,-77.8,90.0,Category 2
1996-07-28 04:00:00,CESAR,12.2,-83.9,75.0,Category 1
1996-08-20 17:30:00,DOLLY,19.1,-87.7,65.0,Category 1
1996-08-23 12:00:00,DOLLY,21.6,-97.7,70.0,Category 1
1996-09-06 00:30:00,FRAN,33.9,-78.0,100.0,Category 3
1996-09-10 06:00:00,HORTENSE,18.0,-66.9,70.0,Category 1
1996-09-15 03:00:00,HORTENSE,44.8,-62.5,70.0,Category 1
1996-10-08 03:30:00,JOSEPHINE,30.0,-83.9,60.0,Tropical Storm
1996-10-12 12:00:00,KYLE,16.0,-88.1,30.0,Tropical Depression
1996-10-18 09:30:00,LILI,22.3,-82.0,85.0,Category 2
1997-07-18 09:00:00,DANNY,29.3,-89.7,65.0,Category 1
1997-07-19 10:00:00,DANNY,30.2,-88.1,70.0,Category 1
1997-07-19 18:00:00,DANNY,30.4,-87.9,65.0,Category 1
1998-08-22 10:00:00,CHARLEY,27.8,-97.1,40.0,Tropical Storm
1998-08-27 04:00:00,BONNIE,34.4,-77.7,95.0,Category 2
1998-09-03 06:00:00,EARL,30.1,-85.7,70.0,Category 1
1998-09-11 06:00:00,FRANCES,28.2,-96.9,45.0,Tropical Storm
1998-09-20 05:00:00,HERMINE,29.1,-90.9,35.0,Tropical Storm
1998-09-21 04:30:00,GEORGES,17.0,-61.7,100.0,Category 3
1998-09-21 08:00:00,GEORGES,17.2,-62.6,100.0,Category 3
1998-09-21 22:00:00,GEORGES,18.1,-65.8,100.0,Category 3
1998-09-22 12:30:00,GEORGES,18.2,-68.7,105.0,Category 3
1998-09-23 21:30:00,GEORGES,20.1,-74.5,65.0,Category 1
1998-09-25 15:30:00,GEORGES,24.5,-81.8,90.0,Category 2
1998-09-28 11:30:00,GEORGES,30.4,-88.9,90.0,Category 2
1998-10-29 12:00:00,MITCH,15.9,-85.7,70.0,Category 1
1998-11-04 02:00:00,MITCH,20.1,-90.5,35.0,Tropical Storm
1998-11-05 11:00:00,MITCH,26.2,-81.9,55.0,Tropical Storm
1999-07-03 04:00:00,UNNAMED,20.5,-97.0,30.0,Tropical Depression
1999-08-23 00:00:00,BRET,26.9,-97.4,100.0,Category 3
1999-08-28 07:00:00,DENNIS,26.6,-76.8,75.0,Category 1
1999-09-04 21:00:00,DENNIS,34.8,-76.5,60.0,Tropical Storm
1999-09-06 12:00:00,UNNAMED,23.2,-97.7,30.0,Tropical Depression
1999-09-14 12:00:00,FLOYD,25.4,-76.3,105.0,Category 3
1999-09-14 19:00:00,FLOYD,26.3,-77.1,110.0,Category 3
1999-09-16 06:30:00,FLOYD,33.8,-78.0,90.0,Category 2
1999-09-21 17:00:00,HARVEY,25.9,-81.7,50.0,Tropical Storm
1999-10-14 12:00:00,IRENE,21.3,-82.9,60.0,Tropical Storm
1999-10-14 19:00:00,IRENE,22.7,-82.5,60.0,Tropical Storm
1999-10-15 13:00:00,IRENE,24.6,-81.6,65.0,Category 1
1999-10-15 20:00:00,IRENE,25.3,-81.1,70.0,Category 1
1999-10-20 16:00:00,JOSE,17.1,-61.7,80.0,Category 1
1999-10-21 11:05:00,JOSE,18.4,-64.6,60.0,Tropical Storm
1999-10-30 00:00:00,KATRINA,13.8,-83.4,35.0,Tropical Storm
1999-11-17 18:00:00,LENNY,17.4,-64.8,135.0,Category 4
1999-11-18 18:00:00,LENNY,18.0,-63.3,110.0,Category 3
1999-11-19 00:00:00,LENNY,18.1,-63.1,85.0,Category 2
1999-11-19 06:00:00,LENNY,18.0,-62.9,75.0,Category 1
1999-11-20 00:00:00,LENNY,17.3,-61.8,55.0,Tropical Storm
2000-08-22 06:00:00,DEBBY,17.5,-61.7,65.0,Category 1
