date,hurricane_name,lat,lon,wind_speed,category,country,country_code,state,price_per_gallon
2003-09-06,HENRI,27.9,-82.8,30.0,Tropical Depression,United States,US,Florida,1.735
2004-08-12,BONNIE,29.6,-85.1,40.0,Tropical Storm,United States,US,Florida,1.876
2004-08-13,CHARLEY,26.6,-82.2,130.0,Category 4,United States,US,Florida,1.876
2004-09-05,FRANCES,27.2,-80.2,90.0,Category 2,United States,US,Florida,1.86
2004-09-26,JEANNE,27.2,-80.2,105.0,Category 3,United States,US,Florida,1.923
2005-07-10,DENNIS,30.4,-87.1,105.0,Category 3,United States,US,Florida,2.274
2005-08-25,KATRINA,26.0,-80.1,70.0,Category 1,United States,US,Florida,2.679
2005-10-05,TAMMY,30.4,-81.4,45.0,Tropical Storm,United States,US,Florida,3.039
2005-10-24,WILMA,25.9,-81.7,105.0,Category 3,United States,US,Florida,2.79
2006-06-13,ALBERTO,29.9,-83.7,40.0,Tropical Storm,United States,US,Florida,2.899
2006-08-30,ERNESTO,24.9,-80.6,40.0,Tropical Storm,United States,US,Florida,2.924
2007-06-02,BARRY,27.5,-82.7,30.0,Tropical Depression,United States,US,Florida,3.163
2007-09-22,TEN,30.4,-86.7,25.0,Tropical Depression,United States,US,Florida,2.849
2008-08-18,FAY,24.5,-81.8,50.0,Tropical Storm,United States,US,Florida,3.792
2009-08-17,CLAUDETTE,30.4,-86.5,40.0,Tropical Storm,United States,US,Florida,2.676
2010-07-23,BONNIE,25.4,-80.2,35.0,Tropical Storm,United States,US,Florida,2.688
2012-05-28,BERYL,30.2,-81.4,55.0,Tropical Storm,United States,US,Florida,3.536
2012-06-26,DEBBY,29.3,-83.2,35.0,Tropical Storm,United States,US,Florida,3.331
2013-06-06,ANDREA,29.5,-83.4,50.0,Tropical Storm,United States,US,Florida,3.529
2016-06-07,COLIN,29.8,-83.6,45.0,Tropical Storm,United States,US,Florida,2.463
2016-09-02,HERMINE,30.1,-84.1,70.0,Category 1,United States,US,Florida,2.323
2016-09-13,JULIA,27.3,-80.2,30.0,Tropical Depression,United States,US,Florida,2.308
2017-07-31,EMILY,27.5,-82.7,50.0,Tropical Storm,United States,US,Florida,2.436
2017-09-10,IRMA,24.7,-81.5,115.0,Category 4,United States,US,Florida,2.85
2018-05-28,ALBERTO,30.3,-86.0,40.0,Tropical Storm,United States,US,Florida,2.942
2018-09-03,GORDON,25.0,-80.5,45.0,Tropical Storm,United States,US,Florida,2.832
2018-10-10,MICHAEL,30.0,-85.5,140.0,Category 5,United States,US,Florida,2.861
2020-09-12,SALLY,25.6,-80.2,30.0,Tropical Depression,United States,US,Florida,2.246
2020-11-09,ETA,24.9,-80.7,55.0,Tropical Storm,United States,US,Florida,2.03
2021-07-07,ELSA,29.8,-83.5,55.0,Tropical Storm,United States,US,Florida,3.056
2021-08-16,FRED,29.7,-85.4,55.0,Tropical Storm,United States,US,Florida,3.056
2021-09-09,MINDY,29.7,-85.1,50.0,Tropical Storm,United States,US,Florida,3.065
2022-09-28,IAN,24.6,-82.9,110.0,Category 3,United States,US,Florida,3.43
2022-11-10,NICOLE,27.6,-80.3,65.0,Category 1,United States,US,Florida,3.491
