StateAbbreviation,abnormaly_dry,severe_drought,extreme_drought
NV,74.65558701082432,39.4493089092423,17.08384679433805
UT,70.59658617818485,33.7085012489592,17.067626977518735
NM,71.4927976686095,34.06542880932556,16.5466860949209
CA,63.92504579517069,32.5597418817652,15.867010824313072
AZ,77.84860949208992,34.90871773522065,14.975736885928393
WY,62.760940882597836,28.830116569525398,12.956761032472938
CO,61.70733555370524,25.722964196502915,12.36247293921732
TX,54.95153205661948,23.212855953372188,11.690574521232305
OK,50.642722731057454,21.707019150707744,11.558159866777686
NE,52.87103247293922,21.229425478767695,10.366952539550374
MT,54.308534554537886,23.006652789342215,10.153413821815153
OR,62.61984179850124,25.472514571190676,9.809492089925063
KS,50.84584512905912,18.322373022481266,8.875145711906743
GA,46.143164029975026,17.322464612822646,8.774554537885095
ID,62.90647793505411,23.105670274771025,8.021606994171524
SC,46.322198168193175,13.070174854288094,6.149217318900916
AL,36.814987510407995,11.717985012489592,6.128318068276436
SD,49.51401332223148,14.593863447127394,4.879408825978351
LA,37.109408825978356,8.747227310574521,4.078251457119068
NC,39.16277268942548,9.34052456286428,4.075095753538718
FL,35.4588759367194,9.237260616153206,3.6328143213988344
TN,28.822722731057457,7.364004995836803,3.112414654454621
ND,46.279683597002496,9.970566194837636,2.803563696919234
AR,34.17580349708576,8.928451290591173,2.6832972522897585
HI,56.58999167360533,11.331831806827644,2.5193671940049955
MN,38.229233971690256,6.857460449625312,2.3899666944213154
IA,34.38496253122398,8.18565362198168,2.223255620316403
WA,44.57794338051624,9.509300582847628,2.1245378850957537
MS,30.122389675270608,5.658168193172356,2.094404662781016
MO,31.107918401332224,5.357393838467943,1.540399666944213
VA,30.357418817651958,4.595120732722731,1.2114321398834305
IL,22.726411323896752,3.529841798501249,1.1507160699417152
KY,21.4470024979184,4.1103746877602,1.1443796835970026
DE,22.875345545378853,4.5602331390507915,1.1076852622814322
MD,24.409292256452957,3.8189092422980853,1.0459117402164861
MA,25.7588759367194,4.187302248126561,0.9242714404662781
NJ,21.447901748542883,3.171165695253955,0.8794254787676936
DC,26.185362198168193,3.6006744379683595,0.8280099916736052
RI,26.908026644462947,3.593438800999168,0.7457035803497086
CT,28.761373855120734,4.639208992506244,0.6804829308909243
ME,23.180141548709408,3.6464279766860948,0.5786594504579518
IN,19.810399666944214,1.9681182348043298,0.503022481265612
WI,29.855303913405496,4.060049958368027,0.37513738551207326
NH,24.269100749375518,3.7431057452123233,0.29625312239800167
PR,19.833139050791008,1.1803330557868443,0.2782098251457119
PA,20.218626144879266,0.6948792672772689,0.13940882597835139
WV,19.567810158201496,0.952714404662781,0.12725228975853453
MI,25.14136552872606,1.8560199833472106,0.11536219816819315
NY,18.704995836802667,0.9414987510407994,0.08192339716902582
OH,15.692880932556204,0.6418068276436304,0.06527893422148211
AK,15.864621149042465,0.1458784346378018,0.017818484596169856
VT,23.36534554537885,0.4970607826810991,0.0
