Week,price_per_gallon
2003-05-26,1.493
2003-06-02,1.496
2003-06-09,1.502
2003-06-16,1.531
2003-06-23,1.522
2003-06-30,1.508
2003-07-07,1.519
2003-07-14,1.569
2003-07-21,1.581
2003-07-28,1.575
2003-08-04,1.584
2003-08-11,1.625
2003-08-18,1.663
2003-08-25,1.742
2003-09-01,1.735
2003-09-08,1.702
2003-09-15,1.683
2003-09-22,1.654
2003-09-29,1.621
2003-10-06,1.593
2003-10-13,1.578
2003-10-20,1.573
2003-10-27,1.555
2003-11-03,1.545
2003-11-10,1.531
2003-11-17,1.526
2003-11-24,1.543
2003-12-01,1.534
2003-12-08,1.524
2003-12-15,1.523
2003-12-22,1.544
2003-12-29,1.55
2004-01-05,1.585
2004-01-12,1.67
2004-01-19,1.687
2004-01-26,1.697
2004-02-02,1.702
2004-02-09,1.703
2004-02-16,1.714
2004-02-23,1.728
2004-03-01,1.749
2004-03-08,1.795
2004-03-15,1.797
2004-03-22,1.818
2004-03-29,1.824
2004-04-05,1.851
2004-04-12,1.846
2004-04-19,1.861
2004-04-26,1.867
2004-05-03,1.886
2004-05-10,1.96
2004-05-17,2.032
2004-05-24,2.072
2004-05-31,2.074
2004-06-07,2.073
2004-06-14,2.048
2004-06-21,2.02
2004-06-28,2.004
2004-07-05,1.968
2004-07-12,1.972
2004-07-19,1.988
2004-07-26,1.975
2004-08-02,1.889
2004-08-09,1.876
2004-08-16,1.861
2004-08-23,1.866
2004-08-30,1.86
2004-09-06,1.908
2004-09-13,1.908
2004-09-20,1.923
2004-09-27,1.976
2004-10-04,1.99
2004-10-11,2.035
2004-10-18,2.072
2004-10-25,2.092
2004-11-01,2.094
2004-11-08,2.089
2004-11-15,2.071
2004-11-22,2.047
2004-11-29,2.041
2004-12-06,2.021
2004-12-13,1.993
2004-12-20,1.955
2004-12-27,1.946
2005-01-03,1.915
2005-01-10,1.901
2005-01-17,1.924
2005-01-24,1.958
2005-01-31,1.996
2005-02-07,2.0
2005-02-14,1.987
2005-02-21,1.978
2005-02-28,1.981
2005-03-07,2.048
2005-03-14,2.136
2005-03-21,2.187
2005-03-28,2.245
2005-04-04,2.296
2005-04-11,2.349
2005-04-18,2.331
2005-04-25,2.317
2005-05-02,2.307
2005-05-09,2.282
2005-05-16,2.244
2005-05-23,2.208
2005-05-30,2.181
2005-06-06,2.185
2005-06-13,2.193
2005-06-20,2.215
2005-06-27,2.278
2005-07-04,2.274
2005-07-11,2.346
2005-07-18,2.355
2005-07-25,2.341
2005-08-01,2.342
2005-08-08,2.392
2005-08-15,2.59
2005-08-22,2.679
2005-08-29,2.677
2005-09-05,3.066
2005-09-12,2.997
2005-09-19,2.832
2005-09-26,2.849
2005-10-03,3.039
2005-10-10,2.973
2005-10-17,2.888
2005-10-24,2.79
2005-10-31,2.71
2005-11-07,2.598
2005-11-14,2.461
2005-11-21,2.356
2005-11-28,2.292
2005-12-05,2.243
2005-12-12,2.27
2005-12-19,2.296
2005-12-26,2.283
2006-01-02,2.325
2006-01-09,2.421
2006-01-16,2.435
2006-01-23,2.455
2006-01-30,2.447
2006-02-06,2.439
2006-02-13,2.395
2006-02-20,2.336
2006-02-27,2.315
2006-03-06,2.366
2006-03-13,2.435
2006-03-20,2.624
2006-03-27,2.624
2006-04-03,2.687
2006-04-10,2.81
2006-04-17,2.898
2006-04-24,3.007
2006-05-01,2.991
2006-05-08,2.946
2006-05-15,2.933
2006-05-22,2.897
2006-05-29,2.859
2006-06-05,2.858
2006-06-12,2.899
2006-06-19,2.88
2006-06-26,2.871
2006-07-03,2.927
2006-07-10,2.97
2006-07-17,2.985
2006-07-24,3.013
2006-07-31,3.033
2006-08-07,3.056
2006-08-14,3.041
2006-08-21,2.988
2006-08-28,2.924
2006-09-04,2.854
2006-09-11,2.775
2006-09-18,2.644
2006-09-25,2.503
2006-10-02,2.391
2006-10-09,2.327
2006-10-16,2.287
2006-10-23,2.253
2006-10-30,2.271
2006-11-06,2.257
2006-11-13,2.295
2006-11-20,2.298
2006-11-27,2.305
2006-12-04,2.355
2006-12-11,2.368
2006-12-18,2.37
2006-12-25,2.397
2007-01-01,2.4
2007-01-08,2.385
2007-01-15,2.336
2007-01-22,2.28
2007-01-29,2.239
2007-02-05,2.24
2007-02-12,2.264
2007-02-19,2.315
2007-02-26,2.409
2007-03-05,2.578
2007-03-12,2.612
2007-03-19,2.618
2007-03-26,2.647
2007-04-02,2.729
2007-04-09,2.847
2007-04-16,2.944
2007-04-23,2.946
2007-04-30,3.01
2007-05-07,3.026
2007-05-14,3.027
2007-05-21,3.161
2007-05-28,3.163
2007-06-04,3.132
2007-06-11,3.077
2007-06-18,3.021
2007-06-25,2.983
2007-07-02,2.956
2007-07-09,2.963
2007-07-16,3.028
2007-07-23,2.983
2007-07-30,2.929
2007-08-06,2.875
2007-08-13,2.808
2007-08-20,2.778
2007-08-27,2.754
2007-09-03,2.778
2007-09-10,2.835
2007-09-17,2.849
2007-09-24,2.894
2007-10-01,2.896
2007-10-08,2.87
2007-10-15,2.849
2007-10-22,2.893
2007-10-29,2.939
2007-11-05,3.073
2007-11-12,3.198
2007-11-19,3.2
2007-11-26,3.195
2007-12-03,3.174
2007-12-10,3.125
2007-12-17,3.103
2007-12-24,3.085
2007-12-31,3.15
2008-01-07,3.207
2008-01-14,3.187
2008-01-21,3.133
2008-01-28,3.102
2008-02-04,3.078
2008-02-11,3.052
2008-02-18,3.136
2008-02-25,3.272
2008-03-03,3.291
2008-03-10,3.323
2008-03-17,3.386
2008-03-24,3.372
2008-03-31,3.369
2008-04-07,3.422
2008-04-14,3.459
2008-04-21,3.577
2008-04-28,3.676
2008-05-05,3.679
2008-05-12,3.77
2008-05-19,3.866
2008-05-26,3.996
2008-06-02,4.0
2008-06-09,4.049
2008-06-16,4.085
2008-06-23,4.079
2008-06-30,4.091
2008-07-07,4.122
2008-07-14,4.116
2008-07-21,4.105
2008-07-28,4.035
2008-08-04,3.955
2008-08-11,3.87
2008-08-18,3.792
2008-08-25,3.732
2008-09-01,3.746
2008-09-08,3.732
2008-09-15,3.916
2008-09-22,3.823
2008-09-29,3.771
2008-10-06,3.66
2008-10-13,3.358
2008-10-20,3.019
2008-10-27,2.735
2008-11-03,2.467
2008-11-10,2.291
2008-11-17,2.168
2008-11-24,2.021
