"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-127.18","54.83","SMITHERS","1077499","2023-01-01","2023","01","01","","-2.7","","-7.8","","-5.3","","23.3","","0.0","","","","","","0.0","","","","","M","","M"
"-127.18","54.83","SMITHERS","1077499","2023-01-02","2023","01","02","","-1.5","","-5.7","","-3.6","","21.6","","0.0","","","","","","0.0","","","","18","","33",""
"-127.18","54.83","SMITHERS","1077499","2023-01-03","2023","01","03","","-2.0","","-7.6","","-4.8","","22.8","","0.0","","","","","","0.0","","","","","M","","M"
"-127.18","54.83","SMITHERS","1077499","2023-01-04","2023","01","04","","-2.7","","-10.4","","-6.6","","24.6","","0.0","","","","","","0.0","","","","18","","42",""
"-127.18","54.83","SMITHERS","1077499","2023-01-05","2023","01","05","","-1.6","","-7.3","","-4.5","","22.5","","0.0","","","","","","0.0","","","","19","","37",""
"-127.18","54.83","SMITHERS","1077499","2023-01-06","2023","01","06","","-1.5","","-5.9","","-3.7","","21.7","","0.0","","","","","","0.0","","","","","M","","M"
"-127.18","54.83","SMITHERS","1077499","2023-01-07","2023","01","07","","1.2","","-7.5","","-3.2","","21.2","","0.0","","","","","","3.4","","","","","M","","M"
"-127.18","54.83","SMITHERS","1077499","2023-01-08","2023","01","08","","-3.1","","-10.5","","-6.8","","24.8","","0.0","","","","","","0.0","","","","","M","","M"
"-127.18","54.83","SMITHERS","1077499","2023-01-09","2023","01","09","","-1.9","","-6.4","","-4.2","","22.2","","0.0","","","","","","0.0","","","","","M","","M"
"-127.18","54.83","SMITHERS","1077499","2023-01-10","2023","01","10","","-0.1","","-3.9","","-2.0","","20.0","","0.0","","","","","","2.3","","","","","M","","M"
"-127.18","54.83","SMITHERS","1077499","2023-01-11","2023","01","11","","1.5","","-2.3","","-0.4","","18.4","","0.0","","","","","","3.1","","","","","M","","M"
"-127.18","54.83","SMITHERS","1077499","2023-01-12","2023","01","12","","1.0","","-2.8","","-0.9","","18.9","","0.0","","","","","","0.6","","","","","M","","M"
"-127.18","54.83","SMITHERS","1077499","2023-01-13","2023","01","13","","0.9","","-1.7","","-0.4","","18.4","","0.0","","","","","","2.4","","","","","M","","M"
"-127.18","54.83","SMITHERS","1077499","2023-01-14","2023","01","14","","1.7","","-1.8","","-0.1","","18.1","","0.0","","","","","","1.7","","","","","M","","M"
