Weekly Florida All Grades Conventional Retail Gasoline Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=emm_epm0u_pte_sfl_dpg&f=w
19:19:27 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Week of,Weekly Florida All Grades Conventional Retail Gasoline Prices Dollars per Gallon
07/3/2023,3.332
06/26/2023,3.409
06/19/2023,3.455
06/12/2023,3.525
06/5/2023,3.392
05/29/2023,3.467
05/22/2023,3.434
05/15/2023,3.509
05/8/2023,3.572
05/1/2023,3.661
04/24/2023,3.737
04/17/2023,3.598
04/10/2023,3.626
04/3/2023,3.506
03/27/2023,3.395
03/20/2023,3.466
03/13/2023,3.35
03/6/2023,3.252
02/27/2023,3.321
02/20/2023,3.318
02/13/2023,3.409
02/6/2023,3.507
01/30/2023,3.583
01/23/2023,3.45
01/16/2023,3.322
01/9/2023,3.32
01/2/2023,3.34
12/26/2022,3.021
12/19/2022,3.045
12/12/2022,3.18
12/5/2022,3.295
11/28/2022,3.425
11/21/2022,3.486
11/14/2022,3.587
11/7/2022,3.491
10/31/2022,3.31
10/24/2022,3.396
10/17/2022,3.442
10/10/2022,3.373
10/3/2022,3.209
09/26/2022,3.43
09/19/2022,3.453
09/12/2022,3.475
09/5/2022,3.532
08/29/2022,3.639
08/22/2022,3.556
08/15/2022,3.661
08/8/2022,3.787
08/1/2022,3.965
07/25/2022,4.12
07/18/2022,4.283
07/11/2022,4.421
07/4/2022,4.533
06/27/2022,4.667
06/20/2022,4.823
06/13/2022,4.937
06/6/2022,4.807
05/30/2022,4.623
05/23/2022,4.518
05/16/2022,4.542
05/9/2022,4.236
05/2/2022,4.222
04/25/2022,4.131
04/18/2022,4.026
04/11/2022,4.082
04/4/2022,4.181
03/28/2022,4.129
03/21/2022,4.166
03/14/2022,4.366
03/7/2022,4.082
02/28/2022,3.556
02/21/2022,3.537
02/14/2022,3.485
02/7/2022,3.502
01/31/2022,3.384
01/24/2022,3.261
01/17/2022,3.252
01/10/2022,3.21
01/3/2022,3.234
12/27/2021,3.25
12/20/2021,3.25
12/13/2021,3.285
12/6/2021,3.318
11/29/2021,3.376
11/22/2021,3.396
11/15/2021,3.299
11/8/2021,3.321
11/1/2021,3.348
10/25/2021,3.362
10/18/2021,3.221
10/11/2021,3.22
10/4/2021,3.074
09/27/2021,3.096
09/20/2021,3.134
09/13/2021,3.041
09/6/2021,3.065
08/30/2021,2.994
08/23/2021,3.013
08/16/2021,3.056
08/9/2021,3.059
08/2/2021,2.998
07/26/2021,2.993
07/19/2021,3.023
07/12/2021,3.046
07/5/2021,3.056
06/28/2021,2.976
06/21/2021,2.978
06/14/2021,3.014
06/7/2021,2.888
05/31/2021,2.902
05/24/2021,2.908
05/17/2021,2.932
05/10/2021,2.915
05/3/2021,2.815
04/26/2021,2.824
04/19/2021,2.863
04/12/2021,2.89
04/5/2021,2.881
03/29/2021,2.912
03/22/2021,2.962
03/15/2021,2.904
03/8/2021,2.754
03/1/2021,2.646
02/22/2021,2.65
02/15/2021,2.499
02/8/2021,2.517
02/1/2021,2.407
01/25/2021,2.434
01/18/2021,2.352
01/11/2021,2.341
01/4/2021,2.246
12/28/2020,2.245
12/21/2020,2.251
12/14/2020,2.178
12/7/2020,2.195
11/30/2020,2.075
11/23/2020,2.069
11/16/2020,2.023
11/9/2020,2.03
11/2/2020,2.071
10/26/2020,2.111
10/19/2020,2.159
10/12/2020,2.198
10/5/2020,2.227
09/28/2020,2.126
09/21/2020,2.167
09/14/2020,2.208
09/7/2020,2.246
08/31/2020,2.107
08/24/2020,2.11
08/17/2020,2.132
08/10/2020,2.175
08/3/2020,2.203
07/27/2020,2.11
07/20/2020,2.129
07/13/2020,2.164
07/6/2020,2.162
06/29/2020,2.08
06/22/2020,2.078
06/15/2020,2.067
06/8/2020,1.96
06/1/2020,1.943
05/25/2020,1.941
05/18/2020,1.819
05/11/2020,1.817
05/4/2020,1.821
04/27/2020,1.837
04/20/2020,1.86
04/13/2020,1.897
04/6/2020,1.949
03/30/2020,2.014
03/23/2020,2.121
03/16/2020,2.217
03/9/2020,2.309
03/2/2020,2.374
02/24/2020,2.444
02/17/2020,2.357
02/10/2020,2.409
02/3/2020,2.401
01/27/2020,2.474
01/20/2020,2.546
01/13/2020,2.52
01/6/2020,2.576
12/30/2019,2.494
12/23/2019,2.457
12/16/2019,2.494
12/9/2019,2.554
12/2/2019,2.48
11/25/2019,2.402
11/18/2019,2.399
11/11/2019,2.429
11/4/2019,2.473
10/28/2019,2.418
10/21/2019,2.488
10/14/2019,2.437
10/7/2019,2.495
09/30/2019,2.465
09/23/2019,2.528
09/16/2019,2.429
09/9/2019,2.459
09/2/2019,2.48
08/26/2019,2.389
08/19/2019,2.436
08/12/2019,2.45
08/5/2019,2.527
07/29/2019,2.594
07/22/2019,2.686
07/15/2019,2.656
07/8/2019,2.702
07/1/2019,2.565
06/24/2019,2.451
06/17/2019,2.505
06/10/2019,2.619
06/3/2019,2.593
05/27/2019,2.627
05/20/2019,2.673
05/13/2019,2.732
05/6/2019,2.805
04/29/2019,2.737
04/22/2019,2.771
04/15/2019,2.822
04/8/2019,2.745
04/1/2019,2.772
03/25/2019,2.653
03/18/2019,2.65
03/11/2019,2.501
03/4/2019,2.503
02/25/2019,2.383
02/18/2019,2.275
02/11/2019,2.284
02/4/2019,2.32
01/28/2019,2.262
01/21/2019,2.273
01/14/2019,2.18
01/7/2019,2.175
12/31/2018,2.218
12/24/2018,2.269
12/17/2018,2.332
12/10/2018,2.335
12/3/2018,2.374
11/26/2018,2.455
11/19/2018,2.543
11/12/2018,2.608
11/5/2018,2.671
10/29/2018,2.741
10/22/2018,2.795
10/15/2018,2.834
10/8/2018,2.861
10/1/2018,2.863
09/24/2018,2.764
09/17/2018,2.777
09/10/2018,2.792
09/3/2018,2.832
08/27/2018,2.756
08/20/2018,2.786
08/13/2018,2.835
08/6/2018,2.784
07/30/2018,2.801
07/23/2018,2.776
07/16/2018,2.825
07/9/2018,2.749
07/2/2018,2.764
06/25/2018,2.726
06/18/2018,2.771
06/11/2018,2.816
06/4/2018,2.887
05/28/2018,2.942
05/21/2018,2.855
05/14/2018,2.854
05/7/2018,2.831
04/30/2018,2.857
04/23/2018,2.874
04/16/2018,2.733
04/9/2018,2.727
04/2/2018,2.773
03/26/2018,2.679
03/19/2018,2.666
03/12/2018,2.589
03/5/2018,2.661
02/26/2018,2.618
02/19/2018,2.677
02/12/2018,2.775
02/5/2018,2.745
01/29/2018,2.676
01/22/2018,2.682
01/15/2018,2.577
01/8/2018,2.579
01/1/2018,2.588
12/25/2017,2.451
12/18/2017,2.479
12/11/2017,2.518
12/4/2017,2.552
11/27/2017,2.578
11/20/2017,2.612
11/13/2017,2.671
11/6/2017,2.485
10/30/2017,2.477
10/23/2017,2.504
10/16/2017,2.548
10/9/2017,2.62
10/2/2017,2.708
09/25/2017,2.777
09/18/2017,2.82
09/11/2017,2.836
09/4/2017,2.85
08/28/2017,2.459
08/21/2017,2.358
08/14/2017,2.385
08/7/2017,2.407
07/31/2017,2.436
07/24/2017,2.338
07/17/2017,2.234
07/10/2017,2.249
07/3/2017,2.256
06/26/2017,2.301
06/19/2017,2.374
06/12/2017,2.459
06/5/2017,2.517
05/29/2017,2.41
05/22/2017,2.416
05/15/2017,2.432
05/8/2017,2.483
05/1/2017,2.551
04/24/2017,2.61
04/17/2017,2.552
04/10/2017,2.573
04/3/2017,2.422
03/27/2017,2.415
03/20/2017,2.363
03/13/2017,2.372
03/6/2017,2.394
02/27/2017,2.372
02/20/2017,2.383
02/13/2017,2.375
02/6/2017,2.384
01/30/2017,2.412
01/23/2017,2.449
01/16/2017,2.493
01/9/2017,2.531
01/2/2017,2.552
12/26/2016,2.441
12/19/2016,2.455
12/12/2016,2.339
12/5/2016,2.318
11/28/2016,2.198
11/21/2016,2.197
11/14/2016,2.267
11/7/2016,2.313
10/31/2016,2.342
10/24/2016,2.367
10/17/2016,2.382
10/10/2016,2.315
10/3/2016,2.271
09/26/2016,2.268
09/19/2016,2.281
09/12/2016,2.308
09/5/2016,2.34
08/29/2016,2.323
08/22/2016,2.238
08/15/2016,2.199
08/8/2016,2.144
08/1/2016,2.169
07/25/2016,2.206
07/18/2016,2.248
07/11/2016,2.305
07/4/2016,2.34
06/27/2016,2.359
06/20/2016,2.4
06/13/2016,2.448
06/6/2016,2.463
05/30/2016,2.339
05/23/2016,2.306
05/16/2016,2.288
05/9/2016,2.308
05/2/2016,2.327
04/25/2016,2.162
04/18/2016,2.153
04/11/2016,2.154
04/4/2016,2.171
03/28/2016,2.176
03/21/2016,2.151
03/14/2016,2.019
03/7/2016,1.972
02/29/2016,1.85
02/22/2016,1.857
02/15/2016,1.857
02/8/2016,1.887
02/1/2016,1.921
01/25/2016,1.958
01/18/2016,1.999
01/11/2016,2.064
01/4/2016,2.092
12/28/2015,2.11
12/21/2015,2.127
12/14/2015,2.135
12/7/2015,2.153
11/30/2015,2.168
11/23/2015,2.204
11/16/2015,2.289
11/9/2015,2.236
11/2/2015,2.176
10/26/2015,2.203
10/19/2015,2.268
10/12/2015,2.322
10/5/2015,2.228
09/28/2015,2.211
09/21/2015,2.216
09/14/2015,2.282
09/7/2015,2.325
08/31/2015,2.362
08/24/2015,2.438
08/17/2015,2.491
08/10/2015,2.511
08/3/2015,2.563
07/27/2015,2.636
07/20/2015,2.677
07/13/2015,2.728
07/6/2015,2.745
06/29/2015,2.769
06/22/2015,2.777
06/15/2015,2.795
06/8/2015,2.784
06/1/2015,2.715
05/25/2015,2.733
05/18/2015,2.689
05/11/2015,2.697
05/4/2015,2.653
04/27/2015,2.65
04/20/2015,2.566
04/13/2015,2.544
04/6/2015,2.566
03/30/2015,2.637
03/23/2015,2.5
03/16/2015,2.522
03/9/2015,2.526
03/2/2015,2.534
02/23/2015,2.426
02/16/2015,2.389
02/9/2015,2.266
02/2/2015,2.148
01/26/2015,2.155
01/19/2015,2.206
01/12/2015,2.307
01/5/2015,2.406
12/29/2014,2.486
12/22/2014,2.574
12/15/2014,2.69
12/8/2014,2.794
12/1/2014,2.862
11/24/2014,2.9
11/17/2014,2.952
11/10/2014,3.002
11/3/2014,3.041
10/27/2014,3.11
10/20/2014,3.217
10/13/2014,3.319
10/6/2014,3.396
09/29/2014,3.353
09/22/2014,3.359
09/15/2014,3.387
09/8/2014,3.431
09/1/2014,3.451
08/25/2014,3.398
08/18/2014,3.415
08/11/2014,3.441
08/4/2014,3.485
07/28/2014,3.518
07/21/2014,3.578
07/14/2014,3.638
07/7/2014,3.677
06/30/2014,3.708
06/23/2014,3.691
06/16/2014,3.636
06/9/2014,3.65
06/2/2014,3.667
05/26/2014,3.698
05/19/2014,3.721
05/12/2014,3.752
05/5/2014,3.788
04/28/2014,3.823
04/21/2014,3.839
04/14/2014,3.777
04/7/2014,3.742
03/31/2014,3.737
03/24/2014,3.644
03/17/2014,3.636
03/10/2014,3.548
03/3/2014,3.538
02/24/2014,3.551
02/17/2014,3.484
02/10/2014,3.408
02/3/2014,3.424
01/27/2014,3.449
01/20/2014,3.465
01/13/2014,3.499
01/6/2014,3.532
12/30/2013,3.496
12/23/2013,3.487
12/16/2013,3.493
12/9/2013,3.535
12/2/2013,3.569
11/25/2013,3.536
11/18/2013,3.351
11/11/2013,3.29
11/4/2013,3.329
10/28/2013,3.366
10/21/2013,3.431
10/14/2013,3.37
10/7/2013,3.386
09/30/2013,3.43
09/23/2013,3.492
09/16/2013,3.561
09/9/2013,3.64
09/2/2013,3.667
08/26/2013,3.592
08/19/2013,3.589
08/12/2013,3.61
08/5/2013,3.663
07/29/2013,3.688
07/22/2013,3.693
07/15/2013,3.646
07/8/2013,3.517
07/1/2013,3.533
06/24/2013,3.588
06/17/2013,3.604
06/10/2013,3.537
06/3/2013,3.529
05/27/2013,3.55
05/20/2013,3.551
05/13/2013,3.559
05/6/2013,3.503
04/29/2013,3.513
04/22/2013,3.534
04/15/2013,3.596
04/8/2013,3.655
04/1/2013,3.699
03/25/2013,3.748
03/18/2013,3.79
03/11/2013,3.831
03/4/2013,3.876
02/25/2013,3.925
02/18/2013,3.858
02/11/2013,3.723
02/4/2013,3.648
01/28/2013,3.488
01/21/2013,3.486
01/14/2013,3.529
01/7/2013,3.469
12/31/2012,3.442
12/24/2012,3.334
12/17/2012,3.321
12/10/2012,3.394
12/3/2012,3.433
11/26/2012,3.458
11/19/2012,3.389
11/12/2012,3.426
11/5/2012,3.489
10/29/2012,3.575
10/22/2012,3.698
10/15/2012,3.789
10/8/2012,3.734
10/1/2012,3.762
09/24/2012,3.816
09/17/2012,3.865
09/10/2012,3.843
09/3/2012,3.842
08/27/2012,3.801
08/20/2012,3.717
08/13/2012,3.695
08/6/2012,3.608
07/30/2012,3.493
07/23/2012,3.476
07/16/2012,3.363
07/9/2012,3.349
07/2/2012,3.258
06/25/2012,3.331
06/18/2012,3.387
06/11/2012,3.428
06/4/2012,3.489
05/28/2012,3.536
05/21/2012,3.613
05/14/2012,3.687
05/7/2012,3.769
04/30/2012,3.854
04/23/2012,3.935
04/16/2012,3.999
04/9/2012,4.032
04/2/2012,3.995
03/26/2012,3.976
03/19/2012,3.893
03/12/2012,3.853
03/5/2012,3.858
02/27/2012,3.822
02/20/2012,3.738
02/13/2012,3.716
02/6/2012,3.617
01/30/2012,3.599
01/23/2012,3.5
01/16/2012,3.485
01/9/2012,3.491
01/2/2012,3.385
12/26/2011,3.321
12/19/2011,3.324
12/12/2011,3.363
12/5/2011,3.345
11/28/2011,3.374
11/21/2011,3.432
11/14/2011,3.473
11/7/2011,3.44
10/31/2011,3.478
10/24/2011,3.5
10/17/2011,3.474
10/10/2011,3.404
10/3/2011,3.444
09/26/2011,3.51
09/19/2011,3.592
09/12/2011,3.638
09/5/2011,3.662
08/29/2011,3.619
08/22/2011,3.613
08/15/2011,3.655
08/8/2011,3.724
08/1/2011,3.766
07/25/2011,3.739
07/18/2011,3.71
07/11/2011,3.659
07/4/2011,3.547
06/27/2011,3.581
06/20/2011,3.642
06/13/2011,3.676
06/6/2011,3.731
05/30/2011,3.783
05/23/2011,3.868
05/16/2011,3.964
05/9/2011,3.982
05/2/2011,3.942
04/25/2011,3.875
04/18/2011,3.881
04/11/2011,3.835
04/4/2011,3.717
03/28/2011,3.64
03/21/2011,3.605
03/14/2011,3.62
03/7/2011,3.604
02/28/2011,3.457
02/21/2011,3.209
02/14/2011,3.187
02/7/2011,3.173
01/31/2011,3.154
01/24/2011,3.185
01/17/2011,3.187
01/10/2011,3.161
01/3/2011,3.142
12/27/2010,3.142
12/20/2010,3.04
12/13/2010,3.045
12/6/2010,3.003
11/29/2010,2.907
11/22/2010,2.918
11/15/2010,2.918
11/8/2010,2.878
11/1/2010,2.833
10/25/2010,2.853
10/18/2010,2.874
10/11/2010,2.85
10/4/2010,2.748
09/27/2010,2.732
09/20/2010,2.758
09/13/2010,2.708
09/6/2010,2.663
08/30/2010,2.681
08/23/2010,2.71
08/16/2010,2.755
08/9/2010,2.788
08/2/2010,2.733
07/26/2010,2.725
07/19/2010,2.688
07/12/2010,2.696
07/5/2010,2.718
06/28/2010,2.742
06/21/2010,2.732
06/14/2010,2.688
06/7/2010,2.723
05/31/2010,2.766
05/24/2010,2.851
05/17/2010,2.918
05/10/2010,2.959
05/3/2010,2.944
04/26/2010,2.904
04/19/2010,2.925
04/12/2010,2.926
04/5/2010,2.883
03/29/2010,2.876
03/22/2010,2.902
03/15/2010,2.897
03/8/2010,2.853
03/1/2010,2.812
02/22/2010,2.757
02/15/2010,2.715
02/8/2010,2.744
02/1/2010,2.777
01/25/2010,2.816
01/18/2010,2.856
01/11/2010,2.829
01/4/2010,2.746
12/28/2009,2.69
12/21/2009,2.689
12/14/2009,2.694
12/7/2009,2.743
11/30/2009,2.724
11/23/2009,2.728
11/16/2009,2.736
11/9/2009,2.761
11/2/2009,2.788
10/26/2009,2.763
10/19/2009,2.612
10/12/2009,2.486
10/5/2009,2.449
09/28/2009,2.479
09/21/2009,2.515
09/14/2009,2.556
09/7/2009,2.596
08/31/2009,2.639
08/24/2009,2.654
08/17/2009,2.676
08/10/2009,2.644
08/3/2009,2.575
07/27/2009,2.532
07/20/2009,2.552
07/13/2009,2.625
07/6/2009,2.701
06/29/2009,2.734
06/22/2009,2.754
06/15/2009,2.71
06/8/2009,2.632
06/1/2009,2.527
05/25/2009,2.455
05/18/2009,2.376
05/11/2009,2.299
05/4/2009,2.133
04/27/2009,2.142
04/20/2009,2.161
